idTermeletrica;nome;submercado;codigo_usina;lag_mensal_potencia_disponivel_comandada;tipo_detalhamento_producao;representacao_discreta_producao;penalidade_violacao_potencia;penalidade_violacao_comando
1;ATLAN_CSA;1;65;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
2;ANGRA2;1;13;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
3;ANGRA1;1;1;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
4;NORTEFLU1;1;171;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
5;NORTEFLU2;1;172;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
6;BAIXADAFL;1;211;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
7;NORTEFLU3;1;173;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
8;ATLANTICO;1;183;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
9;T.LAG_L1;1;217;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
10;T.RIO_L1;1;215;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
11;JUIZDEFO;1;54;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
12;ST.CRUZ34;1;4;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
13;CUBAT_L1;1;219;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
14;IBIRITE;1;63;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
15;SEROP_L1;1;213;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
16;CUBAT_L13;1;220;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
17;T.LAG_L13;1;218;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
18;T.RIO_L13;1;216;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
19;SEROP_L13;1;214;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
20;NORTEFLU4;1;174;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
21;PIRAT.12O;1;50;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
22;CUIABACC;1;12;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
23;NPIRATINGA;1;110;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
24;T.MACAE;1;90;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
25;VIANA;1;49;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
26;TNORTE2;1;194;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
27;PALMEIR_GO;1;182;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
28;IGARAPE;1;2;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
29;CAMPOS;1;9;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
30;DAIA;1;153;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
31;GOIANIA2;1;155;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
32;XAVANTES;1;108;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
33;PAMPASUL;2;107;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
34;SAOSEPE;2;149;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
35;CANDIOTA_3;2;156;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
36;J.LACER.C;2;24;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
37;J.LACER.B;2;25;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
38;J.LAC.A2;2;27;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
39;J.LAC.A1;2;26;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
40;MADEIRA;2;169;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
41;FIGUEIRA;2;28;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
42;URUGUAIANA;2;35;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
43;ARAUCARIA;2;48;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
44;CANOAS;2;64;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
45;TERMOPE;3;96;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
46;P.PECEM1;3;167;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
47;P.PECEM2;3;163;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
48;PROSPERIDA;3;147;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
49;FORTALEZA;3;42;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
50;VALEACU;3;831;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
51;T.BAHIA;3;431;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
52;T.CAMACARI;3;74;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
53;TERMOCEARA;3;58;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
54;T.BAHIA;3;43;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
55;VALEACU;3;83;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
56;SYKUEI;3;221;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
57;PERNAMBU_3;3;98;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
58;MARACANAU;3;57;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
59;TERMOCABO;3;152;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
60;TERMONE;3;67;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
61;TERMOPB;3;69;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
62;CAMPINA_GR;3;52;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
63;BAHIA_1;3;112;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
64;SUAPEII;3;170;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
65;GLOBALI;3;53;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
66;GLOBALII;3;55;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
67;ALTOS;3;109;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
68;ARACATI;3;111;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
69;BATURITE;3;113;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
70;C.MAIOR;3;117;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
71;CAUCAIA;3;119;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
72;CRATO;3;121;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
73;PECEM;3;125;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
74;IGUATU;3;127;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
75;JUAZEIRON;3;133;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
76;MARAMBAIA;3;135;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
77;NAZARIA;3;138;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
78;MURICY;3;164;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
79;AREMBEPE;3;166;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
80;POTIGUAR_3;3;161;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
81;POTIGUAR;3;151;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
82;PETROLINA;3;144;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
83;TERMOMANAU;3;159;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
84;PAUFERRO;3;160;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
85;C.ROCHA;4;203;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
86;JARAQUI;4;204;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
87;MANAUARA;4;205;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
88;PONTANEGR;4;207;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
89;TAMBAQUI;4;209;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
90;UTEMAUA3;4;140;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
91;APARECIDA;4;201;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
92;MARANHAO3;4;212;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
93;MARANHAOV;4;21;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
94;MARANHAOIV;4;36;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
95;P.ITAQUI;4;176;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
96;PARNAIB_IV;4;116;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
97;N.VENECIA2;4;46;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
98;MAUAB3;4;206;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
99;MAUAB4;4;141;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
100;MAUAB1;4;300;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
101;GERAMAR2;4;70;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
102;GERAMAR1;4;73;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
103;SAOJOSE;4;310;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
104;ELECTRON;4;303;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
105;APARECDOC;4;302;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
106;IRANDUBA;4;317;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
107;FLORESLT1;4;318;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
108;FLORESLT2;4;319;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
109;SANTA CRUZ;1;86;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
110;LUIZORMELO;1;15;0;por_usina;0;7.472.309.999.999.990;4.981.540.000.000.000
111;TERMORIO;1;47;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
112;SEROPEDICA;1;62;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
113;T.LAGOAS;1;68;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
114;CUBATAO;1;97;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
115;PSERGIPE I;3;224;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
116;UTESTAVI;1;146;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
117;IBIRITE;1;463;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
118;PREDILECTA;1;230;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
119;MARAN_VL22;4;421;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
120;MARAN_VL_7;4;422;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
121;MARANIVL22;4;436;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
122;MARANIVL_7;4;437;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
123;N.VEN2_L22;4;446;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
124;N.VEN2_L7;4;447;0;por_usina;0;7.874.010.000.000.000;5.249.340.000.000.000
125;ERBCANDEI;3;106;0;por_usina;0;9.786.075.000.000.000;6.524.050.000.000.000
126;ARAUCARIA;2;448;0;por_usina;0;9.786.075.000.000.000;6.524.050.000.000.000
127;O.PINTADA;1;229;0;por_usina;0;9.786.075.000.000.000;6.524.050.000.000.000
128;W.ARJONA;1;334;0;por_usina;0;9.786.075.000.000.000;6.524.050.000.000.000
129;CUIABACCF;1;412;0;por_usina;0;9.786.075.000.000.000;6.524.050.000.000.000
130;UTEGNAI;1;137;0;por_usina;0;9.786.075.000.000.000;6.524.050.000.000.000
131;W.ARJONAO;1;434;0;por_usina;0;9.786.075.000.000.000;6.524.050.000.000.000
132;TERMOCE_F;3;458;0;por_usina;0;9.786.075.000.000.000;6.524.050.000.000.000
133;NPIRATINGF;1;510;0;por_usina;0;11.465.730.000.000.000;7.643.820.000.000.000
