idUsinaElevatoria;AttMatriz;Iteradores;1;2;3
1;vazao_bombeada_disponivel_maxima;01/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;01/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;01/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;01/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;01/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;01/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;01/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;01/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;02/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;02/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;02/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;02/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;02/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;02/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;02/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;02/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;03/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;03/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;03/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;03/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;03/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;03/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;03/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;03/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;04/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;04/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;04/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;04/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;04/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;04/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;04/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;04/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;05/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;05/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;05/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;05/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;05/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;05/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;05/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;05/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;06/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;06/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;06/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;06/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;06/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;06/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;06/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;06/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;07/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;07/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;07/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;07/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;07/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;07/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;07/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;07/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;08/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;08/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;08/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;08/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;08/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;08/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;08/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;08/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;09/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;09/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;09/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;09/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;09/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;09/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;09/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;09/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;10/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;10/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;10/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;10/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;10/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;10/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;10/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;10/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;11/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;11/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;11/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;11/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;11/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;11/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;11/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;11/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;12/2020;inf;inf;inf
1;vazao_bombeada_disponivel_minima;12/2020;0;0;0
2;vazao_bombeada_disponivel_maxima;12/2020;inf;inf;inf
2;vazao_bombeada_disponivel_minima;12/2020;0;0;0
3;vazao_bombeada_disponivel_maxima;12/2020;inf;inf;inf
3;vazao_bombeada_disponivel_minima;12/2020;0;0;0
4;vazao_bombeada_disponivel_maxima;12/2020;inf;inf;inf
4;vazao_bombeada_disponivel_minima;12/2020;0;0;0
1;vazao_bombeada_disponivel_maxima;01/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;01/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;01/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;01/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;01/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;01/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;01/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;01/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;02/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;02/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;02/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;02/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;02/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;02/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;02/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;02/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;03/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;03/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;03/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;03/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;03/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;03/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;03/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;03/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;04/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;04/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;04/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;04/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;04/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;04/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;04/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;04/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;05/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;05/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;05/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;05/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;05/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;05/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;05/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;05/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;06/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;06/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;06/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;06/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;06/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;06/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;06/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;06/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;07/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;07/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;07/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;07/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;07/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;07/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;07/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;07/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;08/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;08/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;08/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;08/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;08/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;08/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;08/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;08/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;09/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;09/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;09/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;09/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;09/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;09/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;09/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;09/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;10/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;10/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;10/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;10/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;10/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;10/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;10/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;10/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;11/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;11/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;11/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;11/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;11/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;11/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;11/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;11/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;12/2021;inf;inf;inf
1;vazao_bombeada_disponivel_minima;12/2021;0;0;0
2;vazao_bombeada_disponivel_maxima;12/2021;inf;inf;inf
2;vazao_bombeada_disponivel_minima;12/2021;0;0;0
3;vazao_bombeada_disponivel_maxima;12/2021;inf;inf;inf
3;vazao_bombeada_disponivel_minima;12/2021;0;0;0
4;vazao_bombeada_disponivel_maxima;12/2021;inf;inf;inf
4;vazao_bombeada_disponivel_minima;12/2021;0;0;0
1;vazao_bombeada_disponivel_maxima;01/2022;inf;inf;inf
1;vazao_bombeada_disponivel_minima;01/2022;0;0;0
2;vazao_bombeada_disponivel_maxima;01/2022;inf;inf;inf
2;vazao_bombeada_disponivel_minima;01/2022;0;0;0
3;vazao_bombeada_disponivel_maxima;01/2022;inf;inf;inf
3;vazao_bombeada_disponivel_minima;01/2022;0;0;0
4;vazao_bombeada_disponivel_maxima;01/2022;inf;inf;inf
4;vazao_bombeada_disponivel_minima;01/2022;0;0;0
1;vazao_bombeada_disponivel_maxima;02/2022;inf;inf;inf
1;vazao_bombeada_disponivel_minima;02/2022;0;0;0
2;vazao_bombeada_disponivel_maxima;02/2022;inf;inf;inf
2;vazao_bombeada_disponivel_minima;02/2022;0;0;0
3;vazao_bombeada_disponivel_maxima;02/2022;inf;inf;inf
3;vazao_bombeada_disponivel_minima;02/2022;0;0;0
4;vazao_bombeada_disponivel_maxima;02/2022;inf;inf;inf
4;vazao_bombeada_disponivel_minima;02/2022;0;0;0
1;vazao_bombeada_disponivel_maxima;03/2022;inf;inf;inf
1;vazao_bombeada_disponivel_minima;03/2022;0;0;0
2;vazao_bombeada_disponivel_maxima;03/2022;inf;inf;inf
2;vazao_bombeada_disponivel_minima;03/2022;0;0;0
3;vazao_bombeada_disponivel_maxima;03/2022;inf;inf;inf
3;vazao_bombeada_disponivel_minima;03/2022;0;0;0
4;vazao_bombeada_disponivel_maxima;03/2022;inf;inf;inf
4;vazao_bombeada_disponivel_minima;03/2022;0;0;0
1;vazao_bombeada_disponivel_maxima;04/2022;inf;inf;inf
1;vazao_bombeada_disponivel_minima;04/2022;0;0;0
2;vazao_bombeada_disponivel_maxima;04/2022;inf;inf;inf
2;vazao_bombeada_disponivel_minima;04/2022;0;0;0
3;vazao_bombeada_disponivel_maxima;04/2022;inf;inf;inf
3;vazao_bombeada_disponivel_minima;04/2022;0;0;0
4;vazao_bombeada_disponivel_maxima;04/2022;inf;inf;inf
4;vazao_bombeada_disponivel_minima;04/2022;0;0;0
1;vazao_bombeada_disponivel_maxima;05/2022;inf;inf;inf
1;vazao_bombeada_disponivel_minima;05/2022;0;0;0
2;vazao_bombeada_disponivel_maxima;05/2022;inf;inf;inf
2;vazao_bombeada_disponivel_minima;05/2022;0;0;0
3;vazao_bombeada_disponivel_maxima;05/2022;inf;inf;inf
3;vazao_bombeada_disponivel_minima;05/2022;0;0;0
4;vazao_bombeada_disponivel_maxima;05/2022;inf;inf;inf
4;vazao_bombeada_disponivel_minima;05/2022;0;0;0
1;vazao_bombeada_disponivel_maxima;06/2022;inf;inf;inf
1;vazao_bombeada_disponivel_minima;06/2022;0;0;0
2;vazao_bombeada_disponivel_maxima;06/2022;inf;inf;inf
2;vazao_bombeada_disponivel_minima;06/2022;0;0;0
3;vazao_bombeada_disponivel_maxima;06/2022;inf;inf;inf
3;vazao_bombeada_disponivel_minima;06/2022;0;0;0
4;vazao_bombeada_disponivel_maxima;06/2022;inf;inf;inf
